1 8 15 22 29 36 43
2 9 16 23 30 37 44
3 10 17 24 31 38 45
4 11 18 25 32 39 46
5 12 19 26 33 40 47
6 13 20 27 34 41 48
7 14 21 28 35 42 49
1 14 20 26 32 38 44
2 8 21 27 33 39 45
3 9 15 28 34 40 46
4 10 16 22 35 41 47
5 11 17 23 29 42 48
6 12 18 24 30 36 49
7 13 19 25 31 37 43
1 13 18 23 35 40 45
2 14 19 24 29 41 46
3 8 20 25 30 42 47
4 9 21 26 31 36 48
5 10 15 27 32 37 49
6 11 16 28 33 38 43
7 12 17 22 34 39 44
1 12 16 27 31 42 46
2 13 17 28 32 36 47
3 14 18 22 33 37 48
4 8 19 23 34 38 49
5 9 20 24 35 39 43
6 10 21 25 29 40 44
7 11 15 26 30 41 45
