1 2 3 4 5 6 7 8 9 10 
1 11 12 13 14 15 16 17 18 19 
1 20 21 22 23 24 25 26 27 28 
2 11 20 29 30 31 32 33 34 35 
3 12 21 29 36 37 38 39 40 41 
4 13 22 29 42 43 44 45 46 47 
4 14 23 30 36 48 49 50 51 52 
5 11 24 37 42 48 53 54 55 56 
6 15 21 31 43 48 57 58 59 60 
7 16 25 31 38 44 49 53 61 62 
8 17 26 32 36 45 54 57 61 63 
9 18 27 33 39 42 50 58 61 64 
6 12 25 34 46 50 55 63 65 66 
8 14 22 35 40 53 59 64 65 67 
2 18 24 41 47 51 57 62 65 68 
10 17 23 33 37 46 60 62 67 69 
5 19 27 35 38 43 52 63 68 69 
7 15 28 30 41 45 56 64 66 69 
9 19 20 40 44 51 54 60 66 70 
3 16 28 32 47 52 55 58 67 70 
10 13 26 34 39 49 56 59 68 70 
